vid_name,label,use?
1_1_0_0_0,0,False
1_1_0_0_1,0,False
1_1_0_0_2,0,False
1_1_0_0_3,0,False
1_1_0_0_4,0,False
1_1_0_0_5,0,False
1_1_0_0_6,0,False
1_1_0_0_7,0,False
1_1_0_0_8,0,False
1_1_0_0_9,0,False
1_1_0_1_0,0,True
1_1_0_1_1,0,True
1_1_0_1_2,0,True
1_1_0_1_3,0,True
1_1_0_1_4,0,True
1_1_0_1_5,0,True
1_1_0_1_6,0,True
1_1_0_1_7,0,True
1_1_0_1_8,0,True
1_1_0_1_9,0,True
1_1_0_2_0,0,True
1_1_0_2_1,0,True
1_1_0_2_2,0,True
1_1_0_2_3,0,True
1_1_0_2_4,0,True
1_1_0_2_5,0,True
1_1_0_2_6,0,True
1_1_0_2_7,0,True
1_1_0_2_8,0,True
1_1_0_2_9,0,True
1_1_0_3_0,0,True
1_1_0_3_1,0,True
1_1_0_3_2,0,True
1_1_0_3_3,0,True
1_1_0_3_4,0,True
1_1_0_3_5,0,True
1_1_0_3_6,0,True
1_1_0_3_7,0,True
1_1_0_3_8,0,True
1_1_0_3_9,0,True
1_1_0_4_0,0,True
1_1_0_4_1,0,True
1_1_0_4_2,0,True
1_1_0_4_3,0,True
1_1_0_4_4,0,True
1_1_0_4_5,0,True
1_1_0_4_6,0,True
1_1_0_4_7,0,True
1_1_0_4_8,0,True
1_1_0_4_9,0,True
1_1_0_5_0,0,True
1_1_0_5_1,0,True
1_1_0_5_2,0,True
1_1_0_5_3,0,True
1_1_0_5_4,0,True
1_1_0_5_5,0,True
1_1_0_5_6,0,True
1_1_0_5_7,0,True
1_1_0_5_8,0,True
1_1_0_5_9,0,True
1_1_1_0_0,1,False
1_1_1_0_1,1,False
1_1_1_0_2,1,False
1_1_1_0_3,1,False
1_1_1_0_4,1,False
1_1_1_0_5,1,False
1_1_1_0_6,1,False
1_1_1_0_7,1,False
1_1_1_0_8,1,False
1_1_1_0_9,1,False
1_1_1_1_0,1,True
1_1_1_1_1,1,True
1_1_1_1_2,1,True
1_1_1_1_3,1,True
1_1_1_1_4,1,True
1_1_1_1_5,1,True
1_1_1_1_6,1,True
1_1_1_1_7,1,True
1_1_1_1_8,1,True
1_1_1_1_9,1,True
1_1_1_2_0,1,True
1_1_1_2_1,1,True
1_1_1_2_2,1,True
1_1_1_2_3,1,True
1_1_1_2_4,1,True
1_1_1_2_5,1,True
1_1_1_2_6,1,True
1_1_1_2_7,1,True
1_1_1_2_8,1,True
1_1_1_2_9,1,True
1_1_1_3_0,1,True
1_1_1_3_1,1,True
1_1_1_3_2,1,True
1_1_1_3_3,1,True
1_1_1_3_4,1,True
1_1_1_3_5,1,True
1_1_1_3_6,1,True
1_1_1_3_7,1,True
1_1_1_3_8,1,True
1_1_1_3_9,1,True
1_1_1_4_0,1,True
1_1_1_4_1,1,True
1_1_1_4_2,1,True
1_1_1_4_3,1,True
1_1_1_4_4,1,True
1_1_1_4_5,1,True
1_1_1_4_6,1,True
1_1_1_4_7,1,True
1_1_1_4_8,1,True
1_1_1_4_9,1,True
1_1_1_5_0,1,True
1_1_1_5_1,1,True
1_1_1_5_2,1,True
1_1_1_5_3,1,True
1_1_1_5_4,1,True
1_1_1_5_5,1,True
1_1_1_5_6,1,True
1_1_1_5_7,1,True
1_1_1_5_8,1,True
1_1_1_5_9,1,True
1_1_2_0_0,2,False
1_1_2_0_1,2,False
1_1_2_0_2,2,False
1_1_2_0_3,2,False
1_1_2_0_4,2,False
1_1_2_0_5,2,False
1_1_2_0_6,2,False
1_1_2_0_7,2,False
1_1_2_0_8,2,False
1_1_2_0_9,2,False
1_1_2_1_0,2,True
1_1_2_1_1,2,True
1_1_2_1_2,2,True
1_1_2_1_3,2,True
1_1_2_1_4,2,True
1_1_2_1_5,2,True
1_1_2_1_6,2,True
1_1_2_1_7,2,True
1_1_2_1_8,2,True
